i,rawRoll,filteredRoll,residual
0,-0.0029,-0.0011,-0.0017999999999999997
1,-0.0049,-0.002,-0.0029
2,-0.0041,-0.0023,-0.0018000000000000004
3,-0.0066,-0.0035,-0.0031
4,-0.0071,-0.0038,-0.0033000000000000004
5,-0.0061,-0.0031,-0.0030000000000000005
6,-0.0056,-0.0034,-0.0022
7,-0.0082,-0.004,-0.004200000000000001
8,-0.0071,-0.0039,-0.0032000000000000006
9,-0.0056,-0.0042,-0.0014000000000000002
10,-0.0082,-0.0046,-0.0036000000000000008
11,-0.0092,-0.0052,-0.004
12,-0.0104,-0.0065,-0.0039
13,-0.0124,-0.0081,-0.0043
14,-0.0151,-0.01,-0.0051
15,-0.0158,-0.0107,-0.005100000000000002
16,-0.0155,-0.0111,-0.004399999999999999
17,-0.0147,-0.0105,-0.004199999999999999
18,-0.0141,-0.0098,-0.0043
19,-0.0135,-0.009,-0.0045000000000000005
20,-0.0136,-0.0083,-0.005299999999999999
21,-0.0114,-0.0077,-0.0037
22,-0.0116,-0.008,-0.003599999999999999
23,-0.0116,-0.0083,-0.003299999999999999
24,-0.0116,-0.0087,-0.0029
25,-0.0124,-0.0085,-0.003899999999999999
26,-0.0131,-0.0083,-0.0048000000000000004
27,-0.0144,-0.0089,-0.0055
28,-0.0151,-0.0095,-0.005600000000000001
29,-0.0158,-0.0099,-0.005900000000000001
30,-0.0148,-0.0095,-0.005300000000000001
31,-0.0123,-0.0084,-0.0039000000000000007
32,-0.0098,-0.0066,-0.0031999999999999997
33,-0.0071,-0.0051,-0.002
34,-0.0057,-0.0035,-0.0022
35,-0.0057,-0.002,-0.0037
36,-0.0044,-0.0005,-0.0039000000000000003
37,-0.0054,-0.0,-0.0054
38,-0.0052,0.0006,-0.0058
39,-0.0019,0.0027,-0.0046
40,0.0046,0.0066,-0.002
41,0.0119,0.0127,-0.0007999999999999986
42,0.0257,0.0212,0.0045000000000000005
43,0.0401,0.0314,0.0087
44,0.0556,0.0433,0.012299999999999998
45,0.0732,0.0589,0.0143
46,0.1065,0.0929,0.013600000000000001
47,0.2291,0.1676,0.0615
48,0.4257,0.2872,0.1385
49,0.6552,0.447,0.2082
50,0.9297,0.653,0.27669999999999995
51,1.2759,0.9168,0.3591000000000001
52,1.7158,1.2541,0.4617
53,2.2827,1.6849,0.5978000000000001
54,2.9757,2.2121,0.7635999999999998
55,3.7493,2.8268,0.9224999999999999
56,4.5822,3.5185,1.0637000000000003
57,5.4662,4.2788,1.1873999999999993
58,6.4023,5.0996,1.3027000000000006
59,7.3575,5.9566,1.4009
60,8.266,6.8181,1.4478999999999997
61,9.0884,7.6474,1.4409999999999998
62,9.772,8.406,1.3659999999999997
63,10.2775,9.0484,1.229099999999999
64,10.5507,9.5347,1.016
65,10.5633,9.8368,0.7264999999999997
66,10.3726,9.9554,0.4172000000000011
67,10.0009,9.8936,0.1073000000000004
68,9.4801,9.6718,-0.1916999999999991
69,8.8671,9.3157,-0.448599999999999
70,8.1841,8.8481,-0.6639999999999997
71,7.4422,8.2829,-0.8407
72,6.6256,7.6278,-1.0021999999999993
73,5.742,6.8909,-1.1489000000000003
74,4.795,6.0767,-1.2816999999999998
75,3.7774,5.19,-1.4126000000000003
76,2.7102,4.2404,-1.5302000000000002
77,1.6071,3.2392,-1.6320999999999999
78,0.4877,2.2324,-1.7447000000000001
79,-0.009,1.4321,-1.4410999999999998
80,-0.4608,0.729,-1.1898
81,-0.963,0.089,-1.052
82,-1.3639,-0.4412,-0.9226999999999999
83,-1.5625,-0.8447,-0.7178
84,-1.6333,-1.1282,-0.5050999999999999
85,-1.604,-1.2981,-0.30590000000000006
86,-1.4807,-1.3611,-0.11959999999999993
87,-1.265,-1.3197,0.05470000000000019
88,-0.9381,-1.1704,0.23230000000000006
89,-0.4996,-0.9138,0.41419999999999996
90,0.0475,-0.581,0.6285
91,0.279,-0.2738,0.5528
92,0.6089,0.0773,0.5316
93,1.1466,0.4985,0.6481000000000001
94,1.7228,0.968,0.7548000000000001
95,2.3109,1.4824,0.8285000000000002
96,2.9474,2.0407,0.9066999999999998
97,3.6175,2.6372,0.9803000000000002
98,4.3029,3.2613,1.0416000000000003
99,4.9794,3.8971,1.0823
100,5.6175,4.5238,1.0937000000000001
101,6.1885,5.1189,1.0696000000000003
102,6.661,5.6558,1.0051999999999994
103,7.0056,6.1105,0.8951000000000002
104,7.2077,6.4627,0.7450000000000001
105,7.2671,6.7005,0.5666000000000002
106,7.186,6.8158,0.37019999999999964
107,6.9652,6.803,0.16220000000000034
108,6.6054,6.6659,-0.06049999999999933
109,6.144,6.4134,-0.2694000000000001
110,5.5897,6.0495,-0.45980000000000043
111,4.9328,5.5795,-0.6467
112,4.1888,5.013,-0.8242000000000003
113,3.3867,4.3667,-0.98
114,2.5529,3.6564,-1.1035
115,1.6886,2.8937,-1.2050999999999998
116,0.8012,2.0888,-1.2875999999999999
117,0.0846,1.4418,-1.3572
118,-0.1859,0.9028,-1.0887
119,-0.5926,0.3824,-0.9750000000000001
120,-1.0452,-0.0929,-0.9522999999999999
121,-1.3465,-0.4965,-0.8500000000000001
122,-1.547,-0.8226,-0.7243999999999999
123,-1.6555,-1.0643,-0.5912
124,-1.6594,-1.2147,-0.4447000000000001
125,-1.549,-1.2636,-0.2853999999999999
126,-1.3178,-1.2065,-0.11130000000000018
127,-0.9681,-1.0391,0.07099999999999995
128,-0.5045,-0.761,0.25650000000000006
129,0.0696,-0.4364,0.506
130,0.2732,-0.1415,0.41469999999999996
131,0.5824,0.1983,0.3841
132,1.1043,0.6027,0.5016
133,1.641,1.0465,0.5945
134,2.1831,1.5287,0.6544000000000001
135,2.7695,2.0488,0.7206999999999999
136,3.383,2.597,0.786
137,3.9836,3.1575,0.8260999999999998
138,4.5505,3.7099,0.8406000000000002
139,5.0448,4.2284,0.8164000000000007
140,5.4346,4.6878,0.7467999999999995
141,5.6991,5.0627,0.6363999999999992
142,5.8161,5.3332,0.4828999999999999
143,5.7878,5.4865,0.30129999999999946
144,5.6153,5.5168,0.09850000000000048
145,5.3181,5.4257,-0.1075999999999997
146,4.9031,5.2151,-0.3119999999999994
147,4.375,4.8878,-0.5128000000000004
148,3.7428,4.4495,-0.7066999999999997
149,3.0161,3.9065,-0.8904000000000001
150,2.2026,3.2672,-1.0646
151,1.3159,2.5407,-1.2248
152,0.3725,1.7802,-1.4077
153,-0.0088,1.1455,-1.1542999999999999
154,-0.4061,0.5553,-0.9614
155,-0.9748,-0.0159,-0.9589
156,-1.4172,-0.5216,-0.8956000000000001
157,-1.729,-0.9538,-0.7752000000000001
158,-1.9544,-1.3044,-0.6499999999999999
159,-2.065,-1.5613,-0.5037
160,-2.063,-1.7187,-0.3443000000000003
161,-1.9495,-1.7738,-0.17569999999999997
162,-1.7246,-1.7233,-0.0012999999999998568
163,-1.3889,-1.5651,0.1761999999999999
164,-0.9393,-1.2965,0.35719999999999996
165,-0.371,-0.9162,0.5452
166,0.2559,-0.5537,0.8096
167,0.5107,-0.2122,0.7229000000000001
168,0.9336,0.1906,0.743
169,1.5053,0.6409,0.8644000000000001
170,2.0486,1.1221,0.9264999999999999
171,2.6166,1.6377,0.9789000000000001
172,3.2217,2.1815,1.0401999999999996
173,3.8218,2.7365,1.0853000000000002
174,4.369,3.2762,1.0928
175,4.8268,3.7736,1.0532000000000004
176,5.1733,4.205,0.9683000000000002
